Date,State,CONTRIBUTOR ID,LGA,Outlet Type,Latitude,Longitude,Country,Sector,Food Item,UOM,Quantity,Price Category,Price,Weight,UPRICE
2025-01-05,OYO,24,OYO WEST,Neighborhood shops kiosk,7.8557967,3.91304,Nigeria,Urban,Maize yellow,1.4,1.0,Retail,1400.0,1.4,1000.0
2025-01-07,OYO,24,OYO WEST,Neighborhood shops kiosk,7.8430888,3.9015113,Nigeria,Urban,Maize yellow,1.4,1.0,Retail,1400.0,1.4,1000.0
2025-01-07,OYO,24,OYO WEST,Open air or covered market,7.84395,3.9010083,Nigeria,Urban,Maize yellow,1.4,1.0,Retail,1300.0,1.4,928.57
2025-01-07,OYO,24,OYO WEST,RoadSide shops street vendors,7.8464317,3.9015367,Nigeria,Urban,Maize yellow,1.4,1.0,Retail,1500.0,1.4,1071.43
2025-01-08,NASARAWA,12,DOMA,Neighborhood shops kiosk,8.4091327,8.3761128,Nigeria,Urban,Maize yellow,1.3,1.0,Retail,1500.0,1.3,1153.85
2025-01-08,NASARAWA,12,DOMA,Supermarket,8.4091327,8.3761128,Nigeria,Rural,Maize yellow,1.3,1.0,Retail,1350.0,1.3,1038.46
2025-01-08,NASARAWA,12,DOMA,RoadSide shops street vendors,8.4091327,8.3761128,Nigeria,Urban,Maize yellow,1.3,1.0,Retail,1800.0,1.3,1384.62
2025-01-08,KOGI,6,KABBA/BUNU,RoadSide shops street vendors,7.8308899,6.0751712,Nigeria,Rural,Maize yellow,100.0,1.0,Wholesale,58000.0,100.0,580.0
2025-01-08,KOGI,6,KABBA/BUNU,Open air or covered market,7.8309462,6.0752823,Nigeria,Rural,Maize yellow,1.3,1.0,Retail,1000.0,1.3,769.23
2025-01-05,NIGER,14,SULEJA,Neighborhood shops kiosk,9.1982001,7.2053301,Nigeria,Rural,Maize yellow,1.3,1.0,Retail,1300.0,1.3,1000.0
2025-01-05,NIGER,14,SULEJA,Neighborhood shops kiosk,9.1981283,7.2052938,Nigeria,Rural,Maize yellow,1.3,1.0,Retail,1300.0,1.3,1000.0
2025-01-07,EKITI,4,OYE,Neighborhood shops kiosk,7.8013789,5.3409643,Nigeria,Urban,Maize yellow,0.16,1.0,Retail,200.0,0.16,1250.0
2025-01-08,OGUN,10,ODEDA,RoadSide shops street vendors,7.1819397,3.4191713,Nigeria,Urban,Maize yellow,1.4,1.0,Retail,1000.0,1.4,714.29
2024-12-13,TARABA ,4,ARDO-KOLA,Local village market,8.9112317,11.3160341,Nigeria,Urban,Maize yellow,1.3,1.0,Retail,1500.0,1.3,1153.85
2025-01-06,TARABA ,4,ARDO-KOLA,Local village market,8.9114971,11.3166944,Nigeria,Urban,Maize yellow,1.3,1.0,Retail,1500.0,1.3,1153.85
2025-01-06,TARABA ,4,ARDO-KOLA,Local village market,8.9114971,11.3166944,Nigeria,Urban,Maize yellow,1.3,1.0,Retail,1500.0,1.3,1153.85
2025-01-08,BAUCHI,1,BAUCHI,RoadSide shops street vendors,11.6804481,10.715277,Nigeria,Urban,Maize yellow,1.3,1.0,Retail,900.0,1.3,692.31
2025-01-08,BAUCHI,1,DAMBAN,City market,11.6767684,10.7111205,Nigeria,Urban,Maize yellow,1.3,1.0,Retail,900.0,1.3,692.31
2025-01-08,BAUCHI,1,DAMBAN,City market,11.6793736,10.7123799,Nigeria,Urban,Maize yellow,1.3,1.0,Retail,900.0,1.3,692.31
2025-01-08,OGUN,10,ODEDA,Open air or covered market,7.1792111,3.4059042,Nigeria,Urban,Maize yellow,1.4,1.0,Retail,1000.0,1.4,714.29
2025-01-08,RIVERS,19,AHOADA EAST,Neighborhood shops kiosk,5.0644453,6.4665275,Nigeria,Rural,Maize yellow,0.16,1.0,Retail,300.0,0.16,1875.0
2025-01-08,RIVERS,19,AHOADA EAST,Open air or covered market,5.0642099,6.4663034,Nigeria,Rural,Maize yellow,0.67,1.0,Retail,2300.0,0.67,3432.84
2025-01-08,RIVERS,19,AHOADA EAST,RoadSide shops street vendors,5.0642012,6.4663198,Nigeria,Rural,Maize yellow,0.16,1.0,Retail,250.0,0.16,1562.5
2025-01-08,ONDO,14,AKURE SOUTH,RoadSide shops street vendors,7.22999,5.1875126,Nigeria,Urban,Maize yellow,1.4,1.0,Retail,1500.0,1.4,1071.43
2025-01-08,ZAMFARA,5,TALATA MAFARA,RoadSide shops street vendors,12.5618809,6.0687467,Nigeria,Urban,Maize yellow,1.3,1.0,Retail,1800.0,1.3,1384.62
2024-12-18,EBONYI,10,OHAOZARA,Local village market,6.0561325,7.8808338,Nigeria,Rural,Maize yellow,0.16,1.0,Retail,200.0,0.16,1250.0
2024-12-25,EBONYI,10,OHAOZARA,Local village market,6.0588965,7.8784165,Nigeria,Rural,Maize yellow,0.16,1.0,Retail,250.0,0.16,1562.5
2024-12-25,EBONYI,10,OHAOZARA,Local village market,6.0431642,7.8927408,Nigeria,Rural,Maize yellow,0.16,1.0,Retail,250.0,0.16,1562.5
2025-01-08,OSUN,1,OLORUNDA,Open air or covered market,7.8187687,4.587829,Nigeria,Urban,Maize yellow,1.4,1.0,Retail,1200.0,1.4,857.14
2025-01-08,NASARAWA,14,AKWANGA,RoadSide shops street vendors,8.8449781,8.4513944,Nigeria,Urban,Maize yellow,1.3,1.0,Retail,900.0,1.3,692.31
2025-01-08,NASARAWA,14,AKWANGA,RoadSide shops street vendors,8.8641264,8.4426959,Nigeria,Urban,Maize yellow,100.0,1.0,Wholesale,92000.0,100.0,920.0
2025-01-08,NASARAWA,14,AKWANGA,Open air or covered market,8.9110899,8.4055549,Nigeria,Urban,Maize yellow,1.3,1.0,Retail,900.0,1.3,692.31
2025-01-08,OGUN,10,ODEDA,Neighborhood shops kiosk,7.1788779,3.4012706,Nigeria,Urban,Maize yellow,1.4,1.0,Retail,1200.0,1.4,857.14
2025-01-05,KADUNA,15,KAGARKO,Open air or covered market,9.4468607,7.8017246,Nigeria,Rural,Maize yellow,1.3,1.0,Retail,800.0,1.3,615.38
2025-01-05,KADUNA,15,KAGARKO,Open air or covered market,9.4453026,7.807356,Nigeria,Rural,Maize yellow,1.3,1.0,Retail,800.0,1.3,615.38
2025-01-05,KADUNA,15,KAGARKO,Open air or covered market,9.44517,7.8075517,Nigeria,Rural,Maize yellow,1.3,1.0,Retail,800.0,1.3,615.38
2025-01-08,NIGER,17,KONTAGORA,Neighborhood shops kiosk,10.5526879,5.4326272,Nigeria,Rural,Maize yellow,1.3,1.0,Retail,700.0,1.3,538.46
2025-01-08,FCT,8,MUNICIPAL AREA COUNCIL,RoadSide shops street vendors,9.0027691,7.5724209,Nigeria,Urban,Maize yellow,1.3,1.0,Retail,1200.0,1.3,923.08
2025-01-05,KANO,27,DOGUWA,RoadSide shops street vendors,10.7349659,8.5870688,Nigeria,Rural,Maize yellow,1.3,1.0,Retail,1500.0,1.3,1153.85
