Date,State,CONTRIBUTOR ID,LGA,Locality,Outlet Type,Latitude,Longitude,Country,Sector,Food Item,UOM,Quantity,UOM2,Price Category,Price,Weight,UPRICE
2024-11-27,ONDO,14,AKURE SOUTH,,Neighborhood shops kiosk,7.2310187,5.1899262,Nigeria,Urban,Maize yellow,1.4,1.0,1.4,Retail,1700.0,1.4,1214.29
2024-11-27,ONDO,14,AKURE SOUTH,,RoadSide shops street vendors,7.2300802,5.1873568,Nigeria,Urban,Maize yellow,1.4,1.0,1.4,Retail,1700.0,1.4,1214.29
2024-11-27,ONDO,14,AKURE SOUTH,,RoadSide shops street vendors,7.2297846,5.1876599,Nigeria,Urban,Maize yellow,1.4,1.0,1.4,Retail,1.0,1.4,0.71
2024-11-27,KATSINA,6,KANKIA,,Neighborhood shops kiosk,12.5550251,7.8400629,Nigeria,Urban,Maize yellow,1.3,1.0,1.3,Retail,1700.0,1.3,1307.69
2024-11-27,KATSINA,6,KANKIA,,Neighborhood shops kiosk,12.5547793,7.8394923,Nigeria,Urban,Maize yellow,1.3,1.0,1.3,Retail,1700.0,1.3,1307.69
2024-11-27,KATSINA,6,KANKIA,,Neighborhood shops kiosk,12.5543091,7.8390668,Nigeria,Urban,Maize yellow,1.3,1.0,1.3,Retail,1680.0,1.3,1292.31
2024-11-27,EBONYI,1,OHAUKWU,,Local village market,6.3985421,7.9726735,Nigeria,Rural,Maize yellow,0.16,1.0,0.16,Retail,200.0,0.16,1250.0
2024-11-27,EBONYI,1,OHAUKWU,,Local village market,6.3979696,7.9728746,Nigeria,Rural,Maize yellow,0.16,1.0,0.16,Retail,200.0,0.16,1250.0
2024-11-27,EBONYI,1,OHAUKWU,,Local village market,6.3989249,7.9720891,Nigeria,Rural,Maize yellow,0.16,1.0,0.16,Retail,200.0,0.16,1250.0
2024-11-27,KADUNA,23,ZARIA,,Open air or covered market,11.099538,7.7011112,Nigeria,Rural,Maize yellow,1.3,1.0,1.3,Retail,1000.0,1.3,769.23
2024-11-27,KADUNA,23,ZARIA,,Open air or covered market,11.099538,7.7011112,Nigeria,Rural,Maize yellow,1.3,2.0,1.3,Retail,2000.0,1.3,1538.46
2024-11-27,KADUNA,23,ZARIA,,Supermarket,11.099538,7.7011112,Nigeria,Urban,Maize yellow,1.3,1.0,1.3,Retail,1000.0,1.3,769.23
2024-11-27,OYO,29,OYO WEST,,RoadSide shops street vendors,7.8506952,3.9230406,Nigeria,Urban,Maize yellow,1.4,1.0,1.4,Retail,1000.0,1.4,714.29
2024-11-27,EDO,10,ETSAKO WEST,,Supermarket,7.0495117,6.2634141,Nigeria,Urban,Maize yellow,0.16,6.0,0.16,Retail,1800.0,0.16,11250.0
2024-11-27,EDO,10,ETSAKO WEST,,RoadSide shops street vendors,7.0622955,6.2562241,Nigeria,Urban,Maize yellow,0.16,4.0,0.16,Retail,1400.0,0.16,8750.0
2024-11-27,ENUGU,13,ENUGU SOUTH,,RoadSide shops street vendors,6.4144349,7.4928896,Nigeria,Urban,Maize yellow,0.67,1.0,0.67,Retail,1800.0,0.67,2686.57
2024-11-27,EDO,2,IKPOOBA OKHA,,Open air or covered market,6.351929,5.65999,Nigeria,Urban,Maize yellow,0.67,1.0,0.67,Retail,1750.0,0.67,2611.94
2024-11-27,EDO,2,IKPOOBA OKHA,,Open air or covered market,6.3515483,5.6592506,Nigeria,Urban,Maize yellow,0.67,1.0,0.67,Retail,1750.0,0.67,2611.94
2024-11-27,EDO,2,IKPOOBA OKHA,,Open air or covered market,6.3512783,5.659015,Nigeria,Urban,Maize yellow,0.67,1.0,0.67,Retail,1750.0,0.67,2611.94
2024-11-27,ENUGU,13,ENUGU SOUTH,,Open air or covered market,6.410071,7.4961071,Nigeria,Urban,Maize yellow,0.67,1.0,0.67,Retail,2000.0,0.67,2985.07
2024-11-27,RIVERS,1,OBIO AKPOR,,Open air or covered market,4.8331336,7.0047637,Nigeria,Urban,Maize yellow,0.16,1.0,0.16,Farmgate,250.0,0.16,1562.5
2024-11-27,OYO,25,EGBEDA,,Open air or covered market,7.3774139,4.0486737,Nigeria,Urban,Maize yellow,1.4,1.0,1.4,Wholesale,1500.0,1.4,1071.43
2024-11-27,OYO,25,EGBEDA,,RoadSide shops street vendors,7.3771235,4.0498898,Nigeria,Urban,Maize yellow,1.4,1.0,1.4,Retail,1600.0,1.4,1142.86
2024-11-27,ENUGU,13,ENUGU SOUTH,,Open air or covered market,6.387508,7.4925008,Nigeria,Urban,Maize yellow,0.67,1.0,0.67,Retail,1500.0,0.67,2238.81
2024-11-27,EKITI,11,ADO EKITI,,Open air or covered market,7.6047876,5.2322246,Nigeria,Urban,Maize yellow,1.4,1.0,1.4,Retail,1200.0,1.4,857.14
2024-11-27,RIVERS,1,OBIO AKPOR,,Neighborhood shops kiosk,4.8371759,7.0257383,Nigeria,Urban,Maize yellow,0.16,1.0,0.16,Farmgate,250.0,0.16,1562.5
2024-11-27,RIVERS,1,OBIO AKPOR,,Neighborhood shops kiosk,4.8370286,7.0256573,Nigeria,Urban,Maize yellow,0.16,1.0,0.16,Farmgate,250.0,0.16,1562.5
2024-11-27,LAGOS,14,SURULERE,,Neighborhood shops kiosk,6.4790492,3.3444849,Nigeria,Rural,Maize yellow,0.67,1.0,0.67,Retail,800.0,0.67,1194.03
2024-11-27,LAGOS,14,SURULERE,,Neighborhood shops kiosk,6.4790193,3.344509,Nigeria,Rural,Maize yellow,0.67,1.0,0.67,Retail,800.0,0.67,1194.03
2024-11-27,LAGOS,14,SURULERE,,Neighborhood shops kiosk,6.4788912,3.3443498,Nigeria,Rural,Maize yellow,0.67,1.0,0.67,Retail,800.0,0.67,1194.03
2024-11-27,NIGER,109,KONTAGORA,,RoadSide shops street vendors,10.555777,5.4582637,Nigeria,Rural,Maize yellow,1.3,1.0,1.3,Retail,800.0,1.3,615.38
2024-11-27,LAGOS,3,SURULERE,,Open air or covered market,6.5135136,3.3487898,Nigeria,Rural,Maize yellow,0.67,1.0,0.67,Retail,700.0,0.67,1044.78
2024-11-27,LAGOS,3,SURULERE,,Open air or covered market,6.5143702,3.3488766,Nigeria,Rural,Maize yellow,0.67,1.0,0.67,Retail,700.0,0.67,1044.78
2024-11-27,LAGOS,3,SURULERE,,Open air or covered market,6.514445,3.348905,Nigeria,Rural,Maize yellow,0.67,1.0,0.67,Retail,700.0,0.67,1044.78
2024-11-27,BENUE,2,MAKURDI,,Open air or covered market,7.6984727,8.5623707,Nigeria,Urban,Maize yellow,1.3,1.0,1.3,Wholesale,1200.0,1.3,923.08
2024-11-27,AKWA IBOM,4,UYO,,Open air or covered market,5.0320655,7.9275057,Nigeria,Urban,Maize yellow,0.16,1.0,0.16,Retail,250.0,0.16,1562.5
2024-11-27,ENUGU,7,ENUGU NORTH,,Open air or covered market,6.45028,7.48162,Nigeria,Urban,Maize yellow,0.16,1.0,0.16,Retail,250.0,0.16,1562.5
2024-11-27,LAGOS,30,SURULERE,,Neighborhood shops kiosk,6.47906,3.3444192,Nigeria,Rural,Maize yellow,0.67,1.0,0.67,Retail,800.0,0.67,1194.03
2024-11-27,LAGOS,30,SURULERE,,Neighborhood shops kiosk,6.4793049,3.3445649,Nigeria,Rural,Maize yellow,0.67,1.0,0.67,Retail,800.0,0.67,1194.03
2024-11-27,LAGOS,30,SURULERE,,Neighborhood shops kiosk,6.4786256,3.3446044,Nigeria,Rural,Maize yellow,0.67,1.0,0.67,Retail,800.0,0.67,1194.03
2024-11-27,ONDO,12,AKURE SOUTH,,Open air or covered market,7.2510084,5.1963439,Nigeria,Urban,Maize yellow,1.4,1.0,1.4,Retail,1500.0,1.4,1071.43
2024-11-27,FCT,4,MUNICIPAL AREA COUNCIL,,RoadSide shops street vendors,8.9648933,7.4019567,Nigeria,Urban,Maize yellow,1.3,1.0,1.3,Retail,1500.0,1.3,1153.85
2024-11-27,FCT,4,MUNICIPAL AREA COUNCIL,,RoadSide shops street vendors,8.9648308,7.4027357,Nigeria,Urban,Maize yellow,1.3,1.0,1.3,Wholesale,1000.0,1.3,769.23
2024-11-27,FCT,4,MUNICIPAL AREA COUNCIL,,Neighborhood shops kiosk,8.9647858,7.402349,Nigeria,Urban,Maize yellow,1.3,1.0,1.3,Retail,1500.0,1.3,1153.85
2024-11-27,AKWA IBOM,4,UYO,,Open air or covered market,5.0316858,7.9277437,Nigeria,Urban,Maize yellow,0.16,1.0,0.16,Retail,250.0,0.16,1562.5
2024-11-27,FCT,7,MUNICIPAL AREA COUNCIL,,RoadSide shops street vendors,9.0332149,7.4684374,Nigeria,Urban,Maize yellow,1.3,1.0,1.3,Retail,1500.0,1.3,1153.85
2024-11-27,NIGER,7,CHANCHAGA,,Neighborhood shops kiosk,9.5748363,6.5735409,Nigeria,Urban,Maize yellow,1.3,1.0,1.3,Retail,850.0,1.3,653.85
2024-11-27,KOGI,6,KABBA/BUNU,,RoadSide shops street vendors,7.8308432,6.0753029,Nigeria,Rural,Maize yellow,1.3,20.0,1.3,Retail,800.0,1.3,615.38
2024-11-27,BENUE,2,MAKURDI,,Open air or covered market,7.6985841,8.5624828,Nigeria,Urban,Maize yellow,1.3,1.0,1.3,Retail,1000.0,1.3,769.23
2024-11-27,CROSS RIVER,11,AKAMKPA  BUYO,,RoadSide shops street vendors,5.3152963,8.3522395,Nigeria,Urban,Maize yellow,0.16,1.0,0.16,Retail,250.0,0.16,1562.5
2024-11-27,GOMBE,9,KWAMI,,Neighborhood shops kiosk,10.4765302,11.1024562,Nigeria,Rural,Maize yellow,1.3,1.0,1.3,Retail,850.0,1.3,653.85
2024-11-27,NIGER,19,WUSHISHI,,RoadSide shops street vendors,9.8004874,6.1595367,Nigeria,Rural,Maize yellow,1.3,1.0,1.3,Retail,900.0,1.3,692.31
2024-11-27,ENUGU,9,ENUGU SOUTH,,Open air or covered market,6.4156187,7.5046843,Nigeria,Urban,Maize yellow,0.16,1.0,0.16,Retail,300.0,0.16,1875.0
2024-11-27,ENUGU,9,ENUGU SOUTH,,Open air or covered market,6.4155987,7.5048808,Nigeria,Urban,Maize yellow,0.16,1.0,0.16,Retail,300.0,0.16,1875.0
2024-11-27,ENUGU,9,ENUGU SOUTH,,Open air or covered market,6.415511,7.5047771,Nigeria,Urban,Maize yellow,0.16,1.0,0.16,Retail,300.0,0.16,1875.0
2024-11-27,KWARA,16,ISIN,,Neighborhood shops kiosk,8.3319217,4.9764675,Nigeria,Rural,Maize yellow,1.3,1.0,1.3,Retail,1000.0,1.3,769.23
2024-11-27,BORNO,8,KAGA,,Local village market,11.76108,12.25970833,Nigeria,Rural,Maize yellow,100.0,1.0,100.0,Wholesale,77500.0,100.0,775.0
2024-11-27,BORNO,8,KAGA,,Local village market,11.76113667,12.25980667,Nigeria,Rural,Maize yellow,100.0,1.0,100.0,Wholesale,77000.0,100.0,770.0
